Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C17, C21",0603,4,2u2,C23630
"C10, C12, C13, C18, C2, C20, C3, C4, C5, C6, C7, C8, C9",0402,13,100n,C1525
"C14, C15",0402,2,30p,C1570
C16,0805,1,10u,C440198
"D1, D4, D7",0603,3,red,C2286
"D2, D5, D8",0603,3,green,C84264
"D3, D6, D9",0603,3,blue,C19171394
J3,FTSH-105-01-F-DV-K,1,CortexDebug10,C3975188
MK1,B4013AM422-42,1,Goertek B4013AM422-42,C233793
R1,0603,1,10k,C25804
"R10, R2, R3, R5, R6, R9",0402,6,220,C25091
"R11, R4, R8",0402,3,120,C25079
"R12, R13",0603,2,4k7,C23162
R7,0805,1,2k2,C17520
RV2,Potentiometer_Bourns_3296Y_Vertical,1,100k,C780118
SW1,SW_SPST_TL3342,1,reset,C318884
"TP1, TP5",tie-hook,2,testpoint,C5199800
U1,SOIC-8_5.275x5.275mm_P1.27mm,1,W25Q128JVS,C97521
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC6482AIMX/NOPB,C12620
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-WMN,C7562
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,C9002
